sentences
Cannot save files offline because Google drive is out of date. Its not, I have the latest version!!
I DONT LIKE IT NANANANANANABAANANNANA NANANANANANANANANANANanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaNanaHahahahahahahahahahahahahahahahahaHahahahahahahahahahahahahahahahahaHahahahahahahahahahahahahahahahahaHahahahahahahahahahahahahahahahahaHahahahahahahahahahahahahahahahahaHahahahahahahahahahahahahahahahahaHahahahahahahahahahahahaha
Pask
This is the worst app I have seen before when I logging in it see sorry we cant give you access pls help
I cant open this app i dont know why
Cannot install the app. It started as not being able to update it and then after uninstalling it and trying to reinstall it now it wont even install.
govno blat
dali ra kaaung deadline😂 #exhaustedstudent🥱
Doesnt save the file I edit and make me waste my time editing
Theres a problem you need to fix when I open this app and try to login I cant log in Idk whats wrong with this app its pissing me of can you fix this bug plss I really need to login
App wont update
Doesnt really work correctly
Dear developers! This app is cool but People can do their assignments at institutes.
School
It sucks
Kept not able to update. Tired of trying
Is says it cannot download files after the update
One star because of this worst learning platform become stupid like it doesnt know i update google drive Youre google fix this app pronto.
App wont update. I tried to contact the developer and got an auto reply saying the email is no longer monitored. Broken link provided. Just fix the app
Never had a problem till now. It just refuses to update it fails every time. But every other app updates just fine.
Fails to install latest update!
I ordered a pizza 12 days ago and it still didnt get here! Fix it! I want my 2 dollars back!
Sadly, The problem of crashing in the specific course I have enrolled in was not solved, even though I completely removed and relogin my gmail, its still the same. Please fix these bugs.
App is not working after update. It says something went wrong. But I have a fast internet. Tssssss. Fix this. The bug from being unable to save offline files is still not fixed, and now theres another one error? I have the updated/latest version of classroom. I tried installing an old version and it worked. But still cant save files offline. This is annoying. Same situation 😭
so stressful
Why does this app can not be reinstalled? I installed it before
I hate learning totally
It has to do with school
Its slow and it kicked me out of all my classes. Do not recommend, Worst experience Ive ever had.
Horrible
Keeps asking me to update my google drive to the latest version whenever I try to save all files offline despite google drive already being updated to the latest version.
Annoyed It had stopped working and wont update. I am simply annoyed.. You lied, No bugs have been fixed. Nothing has improved the same foolishness as before.
Couldnt log in my Google account. It has a bug.
Cant download files offline after updating
Después de la actualización no está sirviendo igual que normalmente lo hacía, se traba mucho, soy un estudiante y cada que suben tareas a mi classroom, y las entrego a tiempo, me sale que las tengo pendientes o entrega tarde. Arreglen esto
Stupid app due to so many adds
Bad piece of code. Wouldnt even update correctly. Laid off Google workers probably worked on this.
Isnt very active or fun al it does is get me in trouble
I have been unable to use the app properly, and I have been unable to update it.
Literally I cannot log in to my school account no matter what. I tried uninstalling it and restalling it, nothing works.
Classroom not working properly......always showing Please contact domain access. Please repair it.
ive been having a hard time using this app because it wont let me attach any file. it always respond couldnt attach drive file. try again. and so, ill try over and over again but still see the same thing. i hope that yall gonna fix this ASAP. i have so many pending tasks to do and majority of my subjects are in the classroom.
Idk why just cause
Nice but sometimes misbehave that is why i put 3 likes you get
Заради това живея в съседния кош за боклук и си пресолявам айряна!
I hate school
will not let you login
IT IS HORRIBLE (I can say that cuz ima student and I hate this damn app)
Terrible app I got low score😡😡😡😡😡😡😡😡
I no longer have the ability to save the files offline it keeps declining and asking for latest update of Google Drive which is up to date!
App update cannot be installed from app store on my Android 13 Fold4 since 2023 April. (Update: in your reply the link became text and no way to copy out, and this is useless and unhelpful)
I use this on a Samsung Galax y Tab S8 It no longer allows me to annotate and save an edited copy as it used to. I did everything and nothing work. Now this app is useless for me and the reason to bought this tablet is to use classroom. Meanwhile in an iPad work. How is that possible? The forums are full of this issue and nothing happen. Please fix it.
Not working
If never send a notification.
It doesnt even let me go into my account
I dont like this app, its very hard for me to use
I cant login to my class Gmail account
In the past months, I received a notifications from my teachers every time there was something to be done or when there was an announcement but why cant I receive the notification now? Please fix this as soon as possible.
Unable to login
I cant sign in my Gmail Account.
Super lag I cant even sign in 😡it also crash every time I open it fix it🤬
Every time when i switch between apps and when come back return on the Google classroom the page get refresh. And also making files offline also not possible, app ask for latest version of Google drive which is already running on latest version.
Poo
We always have a reading quiz and the instructions is we were answer it like fill the dot , why i only received a text not that dot
Horrible, I turned in my work but when i checked my work was not turned in?!!! My score was reduced because of this....
En panga
Trash
I hate this app and school
It cant sync while Im using data
Please fix the unable to preview file and cant download the files offline useless apps
Half of the time it just refuses to load in presentations half of the time even after 10 minutes and our internet works perfectly fine.
Hate it, too much work and more than we had in school
Just bad and wont give notifications
My enemy...
Gtt
i cant even use the app, because there is no dark mode, why not? no clue
I have updated and restarted the app so many times. The problem still persists. Do something about it. I need to annotate students work.
L app
Not working, very lagy
Cant save files offline. Keeps telling me to update Google drive
App is too slow in pc
Couldnt open the app after being updated 🤔
im trying to download the files offline but it keeps on saying that i need to update gdrive first, which then i did. still, it wont let me.
Goffy ahh
This ap in not working
Who ever said that this app is good they most likely have autism.
Refresh
i cant install it because it dosent install in iran😔
Why app is keep closing?? It piss me off I cant view any class materials
App does not work on phone. Please fix this issue
Would not let me log in
Absolute waste of space because when you spend time on a frustrating work and when you save it kicks you out automatically WHAT AN APP!!! Bye:(
Terrible
Very worst
I cant save any files offline. It keeps telling me to update my Google Drive even though its already updated. Because of this, i had to download and uninstall it repeatedly. Pls fix this as saving files offline is needed by students who dont always have access to the internet. Thank you.
I hate school and I hate Google classroom
Its not downloding like there is not a single issue related internet and permission requiration but the app is showing pending from around half an hr i have tried to reinstall it again again but not working😑😑
i have the latest version of google drive, but still it requires to have the latest version of google drive in able to save files offline. lols
Stupid
Its annoying
It made me do schoolwork
not working properly and too much lag
Ew
My teachers gimme too much work so annoying
It wont let me log in! It says I dont have administrator permission. What? How can I check assignments and get messages from teachers! I can log in on my computer, but I dont carry that around with me!. This is extremely inconvenient and frustrating.
When I open it last week it suddenly say unable to refresh, then I wait until I uninstalled and installed it again cause I thought it is some bug that can fix after but after that I cant open it anymore. It said try again later but its been a week already and still it says try again later and also it says try using another account and I did tried many accounts and still, I cant open my gclassroom. Can you fix this problem please 🙏
The apps keep asking to update google drive even though it was already updated every time that I try to download offline documents. Fix this, thank you.
whenever i am trying to save the materials offline its just showing download latest version of g drive and i have already updated fix it soon....
sign in bugs alot
Couldnt add account to classroom.
Cannot upload videos, notes uploaded by teachers dont get updated, caused me to miss out on important notes
I hate it it wont work
I just wanna get it off google store
After last update it wont even log into my acc, tried erasing data and reinstalling, it didnt work. Had to download older version to make it work
Dont get it
Bad app
Bad
ever since the new update, it started to crash. i cant refresh my class. i cleared the app data, restarted my phone etc., and after all that it still not working, i cant log in my account now. fix your app
Cant download files 🧟‍♂️
I hate school
Look at your kid with multiple devices at same time and youll be so confused on which one to believe its pathetic.
Parhetic.
😑 getting the worst experience ever ! couldnt upload my assignments at any cost and got unenrolled from two classes which i couldnt be joined ! dont know why 🙂
Please, fix the bug. I cant upload any video presentation.
This stupid classroom is completely destroy my account im switching to my account but it said couldnt switch what is this google???
